HIP,Name,Num,Constellation,RA,Dec,Mag,NameJ,Prn
8544,,1,Ari,27.53575,22.275361,5.83,,
8645,Baten Kaitos,ζ,Cet,27.865042,-10.334944,3.74,バテン・カイトス,
8704,,1,Per,27.997125,55.147417,5.53,,
8714,,2,Per,28.038958,50.792861,5.7,,
8796,Mothallah,α,Tri,28.270417,29.579389,3.42,モサラー,
8814,,55,And,28.322292,40.729806,5.42,,
8832,Mesarthim,γ1,Ari,28.382375,19.294083,3.88,メサルティム,
8833,,ξ,Psc,28.388917,3.187472,4.61,,
8837,,ψ,Phe,28.41175,-46.302444,4.39,,
8882,,φ,Phe,28.591917,-42.496889,5.12,,
8886,,ε,Cas,28.598667,63.670139,3.35,,
8903,Sheratan,β,Ari,28.659792,20.808306,2.64,シェラタン,
8928,,η2,Hyi,28.733375,-67.647472,4.68,,
8991,,σ,Hyi,28.959375,-78.348667,6.15,,
8993,,7,Ari,28.962625,23.577333,5.76,,
9007,,χ,Eri,28.986792,-51.609583,3.69,,
9009,,ω,Cas,29,68.685278,4.97,,
9021,,56,And,29.038458,37.251806,5.69,,
9061,,56,Cet,29.167333,-22.526722,4.92,,
9110,,ι,Ari,29.337625,17.817583,5.09,,
9153,,λ,Ari,29.482417,23.596083,4.79,,
9222,,3,Per,29.639583,49.20425,5.7,,
9236,,α,Hyi,29.691125,-61.569917,2.86,,
9326,,57,Cet,29.942458,-20.824583,5.43,,
9347,,υ,Cet,30.000917,-21.077778,3.99,,
9353,,112,Psc,30.037583,3.097639,5.89,,
9440,,π,For,30.311667,-30.001556,5.34,,
9459,,χ,Phe,30.426667,-44.713389,5.15,,
9480,,48,Cas,30.489792,70.907056,4.49,,
9487,Alrescha,α,Psc,30.511667,2.76375,3.82,アルレシャ,
9505,,g,Per,30.575292,54.487556,4.99,,
9564,,52,Cas,30.718708,64.9015,6,,
9570,,ε,Tri,30.741542,33.284139,5.5,,
9573,,53,Cas,30.750792,64.390028,5.59,,
9589,,60,Cet,30.798375,0.128444,5.42,,
9598,,50,Cas,30.859125,72.42125,3.95,,
9621,,10,Ari,30.913583,25.935444,5.64,,
9631,,61,Cet,30.9505,-0.340139,5.96,,
9640,Almach,γ1,And,30.974667,42.329861,2.1,アルマク,
9677,,ν,For,31.122625,-29.296833,4.68,,
9727,,47,Cas,31.279375,77.281444,5.27,,
9763,,49,Cas,31.381583,76.115111,5.22,,
9836,,κ,Ari,31.641292,22.648417,5.03,,
9859,,11,Ari,31.705083,25.704583,6.01,,
9884,Hamal,α,Ari,31.792875,23.462778,2.01,ハマル,
9977,,58,And,32.121458,37.859194,4.78,,
10053,,14,Ari,32.355375,25.939972,4.98,,
10064,,β,Tri,32.3855,34.987389,3,,
10155,,15,Ari,32.656417,19.500417,5.68,,
10176,,59A,And,32.720125,39.039583,6.09,,
10180,,59B,And,32.723625,39.043333,6.82,,
10203,,16,Ari,32.80025,25.936944,6.01,,
10212,,64,Cet,32.838167,8.570083,5.64,,
10220,,5,Tri,32.854167,31.526417,6.24,,
10227,,5,Per,32.871625,57.645556,6.38,,
10234,,63,Cet,32.899333,-1.825361,5.94,,
10280,,6,Tri,33.093,30.303222,4.94,,
10305,,66,Cet,33.197167,-2.393472,5.65,,
10306,,η,Ari,33.199917,21.210972,5.23,,
10320,,μ,For,33.226917,-30.723833,5.27,,
10324,,ξ1,Cet,33.250042,8.84675,4.36,,
10328,,19,Ari,33.263542,15.279917,5.72,,
10340,,b,And,33.305583,44.231694,4.84,,
10366,,6,Per,33.400083,51.066222,5.31,,
10418,,π1,Hyi,33.560417,-67.841556,5.57,,
10438,,55,Cas,33.62125,66.524444,6.05,,
10513,,π2,Hyi,33.869,-67.746333,5.67,,
10535,,21,Ari,33.928458,25.04325,5.57,,
10540,,20,Ari,33.941417,25.783111,5.79,,
10559,,7,Tri,33.984583,33.358972,5.25,,
10602,,φ,Eri,34.127083,-51.512111,3.56,,
10642,,67,Cet,34.245792,-6.421861,5.51,,
10644,,δ,Tri,34.260083,34.224833,4.84,,
10670,,γ,Tri,34.3285,33.847333,4.03,,
