県番号,都道府県,名称,郵便番号,住所,緯度,経度
25,滋賀県,滋賀,524-0032,滋賀県守山市岡町156-6,35.0506032,136.0031701
30,和歌山県,和歌山,640-8341,和歌山県和歌山市黒田2‐5‐24,34.2335818,135.1959183
30,和歌山県,和歌山北,649-6414,和歌山県紀の川市打田1463-1,34.2593254,135.3655879
30,和歌山県,田辺,646-0011,和歌山県田辺市新庄1829番地　ナカイビル3F,33.7122078,135.4038322
28,兵庫県,神戸,654-0071,兵庫県神戸市須磨区須磨寺町3丁目3-3,34.6494337,135.1128336
28,兵庫県,兵庫,658-0021,兵庫県神戸市東灘区深江本町3-5-25,34.7225637,135.293282
28,兵庫県,明石,673-0882,兵庫県明石市相生町2丁目8-2ミツヤビル3F,34.644977,134.9973225
28,兵庫県,加古川,675-0025,兵庫県加古川市尾上町養田746-1,34.7481922,134.8134951
28,兵庫県,姫路,672-8040,兵庫県姫路市飾磨区野田町59番地,34.8114144,134.6853656
28,兵庫県,西宮,663-8113,兵庫県西宮市甲子園口3-14-20　小西ビル3F,34.7367871,135.372663
28,兵庫県,阪神,663-8231,兵庫県西宮市津門西口町8-11　丹波屋ビル3Ｆ,34.7332681,135.348818
28,兵庫県,尼崎,661-0012,兵庫県尼崎市南塚口町3-11-13　広栄ビル3Ｆ,34.7511236,135.4219151
24,三重県,みえ中央,514-0131,三重県津市あのつ台4-7-4,34.7900873,136.4994348
24,三重県,四日市,510-0074,三重県四日市市鵜の森2丁目10-5,34.9655795,136.6123412
24,三重県,伊勢,515-0508,三重県伊勢市柏町1730-3,34.5358255,136.6474721
24,三重県,伊賀,518-0751,三重県名張市蔵持町芝出144-1,34.6310875,136.1026118
33,岡山県,岡山,701-0221,岡山県岡山市南区藤田1999-1,34.5982041,133.8965076
33,岡山県,東岡山,703-8254,岡山県岡山市中区八幡148-2,34.6835952,133.9500489
33,岡山県,総社,719-1131,岡山県総社市中央6丁目9-110　エンスイビル102,34.6676658,133.7487739
33,岡山県,倉敷,710-0826,岡山県倉敷市老松町4-8-20　サンライトビル老松4F,34.5935053,133.7580034
34,広島県,広島,730-0854,広島県広島市中区土橋町5-3番地,34.3927118,132.4484581
34,広島県,広島中央,730-0806,広島県広島市中区西十日市町1-3 森田共同ビル2F,34.3986807,132.4470951
34,広島県,広島北,731-0138,広島県広島市安佐南区祇園4丁目52-5,34.4411819,132.4567662
34,広島県,広島西,733-0834,広島県広島市西区草津新町2-14-18,34.3747998,132.3953725
34,広島県,広島西条,739-0007,広島県東広島市西条土与丸1-5-62,34.4260674,132.7499999
34,広島県,福山,721-0952,広島県福山市曙町6-1-1,34.4686756,133.3993167
34,広島県,三原,723-0015,広島県三原市円一町3-5-7　森本ビル202号,34.3954067,133.0765044
34,広島県,尾道,722-0055,広島県尾道市新高山3-1170-161　2F,34.4245271,133.214318
34,広島県,呉,737-0045,広島県呉市本通2-9-8,34.2435825,132.5671774
31,鳥取県,鳥取,680-0942,鳥取県鳥取市湖山町東3-52,35.5175938,134.1905369
31,鳥取県,米子,683-0805,鳥取県米子市西福原4丁目7-62,35.4445979,133.3386128
31,鳥取県,倉吉,689-0605,鳥取県東伯郡湯梨浜町園2187-1,35.5056531,133.9274892
32,島根県,松江,690-0823,島根県松江市西川津町4300番地,35.4777669,133.070568
32,島根県,出雲,693-0012,島根県出雲市大津新崎町6-50,35.3677289,132.7683685
32,島根県,益田,698-0026,島根県益田市あけぼの本町10-16　センタービル湖月2F,34.6796367,131.8412535
32,島根県,浜田,697-0015,島根県浜田市竹迫町2883,34.8978858,132.0878208
35,山口県,下関,751-0873,山口県下関市秋根西町1丁目6-30,34.0088548,130.9460068
35,山口県,宇部,755-0085,山口県宇部市沼１丁目9-37,33.9635311,131.2638162
